cell_line	tissue
MSTO	Lung
A2780	Ovarian
A375	Melanoma
DLD1	Colon
SKOV3	Ovarian
A2058	Melanoma
SKMEL30	Melanoma
RKO	Colon
KPL1	Breast
PA1	Ovarian
OCUBM	Breast
ES2	Ovarian
HT29	Colon
NCIH1650	Lung
NCIH2122	Lung
T47D	Breast
NCIH520	Lung
SKMES1	Lung
A427	Lung
EFM192B	Breast
UACC62	Melanoma
RPMI7951	Melanoma
SW620	Colon
NCIH460	Lung
SW837	Colon
VCAP	Prostate
LNCAP	Prostate
OVCAR3	Ovarian
MDAMB436	Breast
COLO320DM	Colon
HT144	Melanoma
NCIH23	Lung
OV90	Ovarian
HCT116	Colon
UWB1289+BRCA1	Ovarian
CAOV3	Ovarian
LOVO	Colon
UWB1289	Ovarian
ZR751	Breast